"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2019","12,189.04","12,616.34","12,656.05","12,115.28","1.90B","-1.69%"
"06/01/2019","12,398.80","11,661.12","12,438.37","11,620.64","1.85B","5.73%"
"05/01/2019","11,726.84","12,349.10","12,435.67","11,662.07","2.17B","-5.00%"
"04/01/2019","12,344.08","11,617.18","12,376.06","11,612.70","1.69B","7.10%"
"03/01/2019","11,526.04","11,584.24","11,823.29","11,299.80","1.93B","0.09%"
"02/01/2019","11,515.64","11,198.46","11,556.87","10,863.56","1.66B","3.07%"
"01/01/2019","11,173.10","10,477.77","11,321.62","10,386.97","1.93B","5.82%"
"12/01/2018","10,558.96","11,534.75","11,566.97","10,279.20","1.81B","-6.20%"
"11/01/2018","11,257.24","11,419.61","11,689.96","11,009.25","2.06B","-1.66%"
"10/01/2018","11,447.51","12,265.89","12,373.29","11,051.04","2.31B","-6.53%"
"09/01/2018","12,246.73","12,338.36","12,458.30","11,865.47","2.15B","-0.95%"
"08/01/2018","12,364.06","12,826.70","12,833.11","12,120.65","1.88B","-3.45%"
"07/01/2018","12,805.50","12,147.94","12,886.83","12,132.72","2.03B","4.06%"
"06/01/2018","12,306.00","12,678.07","13,170.05","12,104.41","2.40B","-2.37%"
"05/01/2018","12,604.89","12,610.78","13,204.31","12,547.61","2.29B","-0.06%"
"04/01/2018","12,612.11","11,997.47","12,647.16","11,792.35","1.92B","4.26%"
"03/01/2018","12,096.73","12,386.40","12,459.90","11,726.62","2.49B","-2.73%"
"02/01/2018","12,435.85","13,235.15","13,301.41","12,003.36","2.40B","-5.71%"
"01/01/2018","13,189.48","12,897.69","13,596.89","12,745.15","2.17B","2.10%"
"12/01/2017","12,917.64","13,044.15","13,338.91","12,810.13","1.67B","-0.82%"
"11/01/2017","13,023.98","13,342.44","13,525.56","12,847.88","2.19B","-1.55%"
"10/01/2017","13,229.57","12,866.27","13,255.38","12,849.59","1.61B","3.12%"
"09/01/2017","12,828.86","12,101.15","12,828.86","12,050.53","1.83B","6.41%"
"08/01/2017","12,055.84","12,147.89","12,336.00","11,868.84","1.79B","-0.52%"
"07/01/2017","12,118.25","12,396.34","12,676.52","12,097.36","1.83B","-1.68%"
"06/01/2017","12,325.12","12,623.61","12,951.54","12,319.00","2.11B","-2.30%"
"05/01/2017","12,615.06","12,478.46","12,841.66","12,433.51","2.07B","1.42%"
"04/01/2017","12,438.01","12,368.82","12,486.29","11,941.57","1.70B","1.02%"
"03/01/2017","12,312.87","11,915.03","12,313.29","11,850.27","2.43B","4.04%"
"02/01/2017","11,834.41","11,646.42","12,031.11","11,479.78","1.69B","2.59%"
"01/01/2017","11,535.31","11,426.38","11,893.08","11,414.82","1.90B","0.47%"
"12/01/2016","11,481.06","10,593.06","11,481.66","10,402.59","1.98B","7.90%"
"11/01/2016","10,640.30","10,724.14","10,802.39","10,174.92","2.19B","-0.23%"
